genomes,number_of_genes
1,6300
1,6300
1,6933
1,6276
1,6334
1,6675
1,6334
1,6276
1,6675
1,6276
2,7613
2,7613
2,7871
2,7024
2,7576
2,7871
2,7024
2,7636
2,7387
2,7145
3,8099
3,8099
3,8417
3,8082
3,8346
3,8346
3,7755
3,8082
3,7933
3,7755
4,8956
4,8956
4,8996
4,8678
4,8956
4,8802
4,8678
4,8802
4,8802
4,8678
5,9349
5,9349
5,9349
5,9349
5,9349
5,9349
5,9349
5,9349
5,9349
5,9349
